sa2_maincode_2016,sa2_code_2021,ratio
120011384,120011672,0.5057513
120011384,120011673,0.4942487
120011385,120011385,1.0
120011386,120011386,1.0
120021387,120021387,1.0
120021388,120021674,0.3557375
120021388,120021675,0.6442625
120021389,120021389,1.0
120031390,120031676,0.5325969
120031390,120031677,0.4674031
120031391,120031678,0.5493864
120031391,120031679,0.4506136
120031392,120031392,1.0
120031393,120031393,1.0
120031394,120031394,1.0
120031395,120031395,1.0
120031396,120031396,1.0
120031575,120031680,0.6647257
120031575,120031681,0.3352743
120031576,120031576,1.0
121011398,121011682,0.3320511
121011398,121011684,0.6679489
121011399,121011399,1.0
121011400,121011685,0.485053
121011400,121011686,0.514947
121011401,121011401,1.0
121011402,121011683,0.5165186
121011402,121011687,0.4834814
121021403,121021403,1.0
121021404,121021404,1.0
121021406,121021406,1.0
121021577,121021577,1.0
121021578,121021403,0.0009536
121021578,121021578,0.9990464
121021579,121021579,1.0
121031407,121031407,1.0
121031408,121031408,1.0
121031409,121031409,1.0
121031410,121031410,1.0
121031411,121031411,1.0
121031412,121031412,1.0
121041413,121041413,0.9977561
121041413,121041416,0.0022439
121041414,121041414,1.0
121041415,121041688,0.4884647
121041415,121041689,0.5115353
121041416,121041416,1.0
121041417,121041417,1.0
122011418,122011418,1.0
122011419,122011419,1.0
122021420,122021420,1.0
122021421,122021421,1.0
122021422,122021422,1.0
122021423,122021690,0.5655973
122021423,122021691,0.4344027
122031424,122031424,1.0
122031425,122031425,1.0
122031426,122031694,0.3537426
122031426,122031695,0.6462574
122031427,122031427,1.0
122031428,122031692,0.3435914
122031428,122031696,0.6564086
122031429,122031429,1.0
122031430,122031430,1.0
122031431,122031693,0.5545385
122031431,122031697,0.4454615
122031432,122031432,1.0
123011433,123011433,1.0
123011434,123011699,0.4988418
123011434,123011700,0.5011582
123011435,123011698,0.1865491
123011435,123011701,0.6677616
123011435,123011702,0.1456893
123021436,123021436,1.0
123021437,123021437,1.0
123021438,123021438,1.0
123021439,123021439,1.0
123021440,123021703,0.158187
123021440,123021705,0.8385377
123021440,127011728,0.0032753
123021441,123021441,1.0
123021442,123021704,0.4069515
123021442,123021706,0.5930485
123021443,123021443,1.0
123021444,123021444,1.0
123031445,123031445,1.0
123031446,123031446,1.0
123031447,123031447,1.0
123031448,123031448,1.0
124011449,124011449,1.0
124011450,124011450,1.0
124011451,124011451,1.0
124011452,124011452,1.0
124011453,124011453,1.0
124011454,124011454,1.0
124011455,124011455,1.0
124021456,124021456,1.0
124031457,124031457,1.0
124031458,124031707,0.7135297
124031458,124031708,0.2864703
124031459,124031459,1.0
124031460,124031460,1.0
124031461,124031461,1.0
124031462,124031462,1.0
124031463,124031463,1.0
124031464,124031464,1.0
124031465,124031465,1.0
124041466,124041466,1.0
124041467,124041467,1.0
124041468,124041468,1.0
124051469,124051469,1.0
124051470,124051470,1.0
124051580,124051580,1.0
124051581,124051581,1.0
125011473,125011709,0.4831594
125011473,125011710,0.5168406
125011475,125011475,1.0
125011582,125011582,1.0
125011583,125011583,1.0
125011584,125011584,1.0
125011585,125011585,1.0
125011586,125011586,1.0
125011587,125011587,1.0
125021476,125021711,0.4035695
125021476,125021712,0.5964305
125021477,125021477,1.0
125021478,125021478,1.0
125031479,125031479,1.0
125031480,125031480,1.0
125031481,125031481,1.0
125031482,125031713,0.614023
125031482,125031715,0.385977
125031483,125031483,1.0
125031484,125031484,1.0
125031485,125031714,0.7624893
125031485,125031716,0.2375107
125031486,125031486,1.0
125031487,125031487,1.0
125041489,125041489,1.0
125041490,125041490,1.0
125041491,125041491,1.0
125041492,125041717,0.29305
125041492,125041718,0.3767675
125041492,125041719,0.3301825
125041493,125041493,1.0
125041494,125041494,1.0
125041588,125041588,1.0
125041589,125041589,1.0
126011495,126011720,0.3943932
126011495,126011721,0.6056068
126011496,126011496,1.0
126021497,126021722,0.2767404
126021497,126021723,0.7232596
126021498,126021498,1.0
126021499,126021499,1.0
126021500,126021500,1.0
126021501,126021501,1.0
126021503,126021503,1.0
126021590,126021590,1.0
126021591,126021724,0.7399246
126021591,126021725,0.2600754
127011504,127011504,1.0
127011505,127011505,1.0
127011506,123021703,0.0002597
127011506,127011726,0.1437274
127011506,127011727,0.2678513
127011506,127011728,0.3207333
127011506,127011729,0.2674283
127011592,127011592,1.0
127011593,127011593,1.0
127011594,127011594,1.0
127011595,127011595,1.0
127011596,127011596,1.0
127011597,127011597,1.0
127021509,127021509,1.0
127021510,127021510,1.0
127021511,127021511,1.0
127021512,127021512,1.0
127021513,127021513,1.0
127021514,127021514,1.0
127021515,127021515,1.0
127021516,127021516,1.0
127021517,127021517,1.0
127021518,127021518,1.0
127021519,127021519,1.0
127021520,127021520,1.0
127021521,127021521,1.0
127031522,127031522,1.0
127031523,127031523,1.0
127031524,127031524,1.0
127031598,127031731,0.5141273
127031598,127031732,0.4858727
127031599,127031599,1.0
127031600,127031730,0.1282382
127031600,127031733,0.8717618
127031601,127031601,1.0
128011529,128011529,1.0
128011530,128011530,1.0
128011531,128011531,0.9996893
128011602,128011602,1.0
128011603,128011603,1.0
128011604,128011604,1.0
128011605,128011605,1.0
128011606,128011606,1.0
128021533,128021533,1.0
128021534,128021534,1.0
128021535,128021535,1.0
128021536,128021536,1.0
128021537,128021537,1.0
128021538,128021538,1.0
128021607,128021607,1.0
128021608,128021608,1.0
128021609,128021609,1.0
197979799,197979799,1.0
199999499,199999499,1.0
201011001,201011001,1.0
201011002,201011002,1.0
201011003,201011481,0.3956269
201011003,201011482,0.6043731
201011004,201011483,0.467037
201011004,201011484,0.532963
201011005,201011005,1.0
201011006,201011006,1.0
201011007,201011007,1.0
201011008,201011008,1.0
201021009,201021009,1.0
201021010,201021010,1.0
201021011,201021011,1.0
201021012,201021012,1.0
201031013,201031013,1.0
201031014,201031014,1.0
201031015,201031015,1.0
201031016,201031016,1.0
201031017,201031017,1.0
202011018,202011018,1.0
202011019,202011019,1.0
202011020,202011020,1.0
202011021,202011021,1.0
202011022,202011022,1.0
202011023,202011023,1.0
202011024,202011024,1.0
202011025,202011025,1.0
202021026,202021026,1.0
202021027,202021027,1.0
202021028,202021028,1.0
202021029,202021029,1.0
202021030,202021030,1.0
202021031,202021031,1.0
202031032,202031032,1.0
202031033,202031033,1.0
203011034,203011034,1.0
203011035,203011035,1.0
203011036,203011036,1.0
203021037,203021037,1.0
203021038,203021486,0.6694257
203021038,203021488,0.3305743
203021039,203021039,1.0
203021040,203021040,1.0
203021041,203021485,0.1532204
203021041,203021487,0.8467796
203021042,203021042,1.0
203021043,203021043,1.0
203021044,203021044,1.0
203021045,203021045,1.0
203021046,203021046,1.0
203021047,203021047,1.0
203031048,203031048,1.0
203031049,203031049,1.0
203031050,203031489,0.3298878
203031050,203031490,0.6701122
203031051,203031051,1.0
203031052,203031052,1.0
203031053,203031053,1.0
204011054,204011054,1.0
204011055,204011055,1.0
204011056,204011056,1.0
204011057,204011057,1.0
204011058,204011058,1.0
204011059,204011059,1.0
204011060,204011060,1.0
204011061,204011061,1.0
204011062,204011062,1.0
204021063,204021063,1.0
204021064,204021064,1.0
204021065,204021065,1.0
204021066,204021066,1.0
204021067,204021067,1.0
204031068,204031068,1.0
204031069,204031069,1.0
204031070,204031070,1.0
204031071,204031071,1.0
204031072,204031072,1.0
204031073,204031073,1.0
204031074,204031491,0.3693245
204031074,204031492,0.6306755
204031075,204031075,1.0
205011076,205011076,1.0
205011077,205011077,1.0
205011078,205011078,1.0
205011079,205011079,1.0
205021080,205021080,1.0
205021081,205021081,1.0
205021082,205021082,1.0
205021083,205021083,1.0
205021084,205021084,1.0
205021085,205021085,1.0
205021086,205021086,1.0
205031087,205031087,1.0
205031088,205031088,1.0
205031089,205031089,1.0
205031090,205031090,1.0
205031091,205031091,1.0
205031092,205031092,1.0
