sa2_code,sa2_name,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,median_age2015-2016,median_age2016-2017,median_age2017-2018,median_age2018-2019,median_age2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020
407021154,Naracoorte,4242,4058,4091,4096,4099,44,43,43,43,43,203914021,199179123,210477334,224719461,225327692,41028,42151,43808,46342,47078,48070,49083,51449,54863,54971
407021155,Naracoorte Region,1168,1308,1386,1416,1463,47,48,47,48,47,62669669,78462019,80554538,98786388,90347350,42231,45534,44325,50951,46778,53656,59986,58120,69764,61755
407021156,Penola,1747,1820,1857,1905,1854,46,46,47,47,47,96141479,104162547,103452840,111231078,107824775,45038,45014,46461,49740,48380,55032,57232,55710,58389,58158
407021157,Tatiara,4093,4325,4427,4440,4456,45,45,45,44,44,177343888,210396433,224462902,254221519,235256851,39357,42551,44703,47238,47001,43329,48647,50703,57257,52796
407021158,Wattle Range,1493,1683,1746,1811,1854,48,49,48,49,49,87166594,91967214,96229005,107668213,109601615,43717,43504,44681,47428,47553,58384,54645,55114,59452,59116
407021173,Mount Gambier - East,8795,8917,8883,8765,8867,45,45,45,45,45,464446412,479133559,487983648,495953673,510671460,46036,47324,48599,50048,51156,52808,53733,54935,56583,57592
407021174,Mount Gambier - West,6724,7062,7338,7530,7564,43,44,43,43,43,341972792,368171551,387374577,406181251,484939571,44144,45322,47465,48555,49641,50859,52134,52790,53942,64112
407031159,Barmera,3419,3539,3584,3623,3609,48,49,49,49,49,152853036,165043187,172476064,179835479,184057738,40572,41704,43357,45036,46587,44707,46636,48124,49637,51000
407031160,Berri,2255,2157,2074,2056,2085,45,45,45,44,43,110776090,105483574,99819531,105464774,109609555,42017,42850,42761,46132,46345,49125,48903,48129,51296,52571
407031161,Karoonda - Lameroo,1576,1774,1739,1753,1740,46,48,48,48,48,66856214,86314088,90890427,76776587,71422813,34047,39742,41408,38039,38184,42421,48655,52266,43797,41048
407031162,Loxton,3047,3043,3090,3070,3052,46,46,46,46,47,143711752,151817393,153981585,156594657,155746676,41339,43683,44059,46044,46236,47165,49891,49832,51008,51031
407031163,Loxton Region,762,845,812,859,972,47,47,47,47,48,33667297,42311106,37935232,39137924,40276849,37506,40221,37679,40069,37351,44183,50072,46718,45562,41437
407031164,Mannum,2911,2970,3062,3129,3178,50,50,51,51,51,123024765,130966566,136592802,138028209,140429463,35863,36614,37788,38232,37610,42262,44096,44609,44113,44188
407031165,Murray Bridge,9028,9160,9090,8950,8969,42,42,43,43,43,383699075,400837854,413127466,418369475,429294184,38483,40355,41641,43410,44238,42501,43760,45449,46745,47864
407031166,Murray Bridge Region,1831,1998,2039,2125,2114,47,47,48,48,48,80290093,89767470,94002177,95153767,100144864,38720,39764,40365,40256,41997,43850,44929,46102,44778,47372
407031167,Renmark,2722,2667,2601,2581,2622,43,42,43,43,42,118710535,120411209,123251884,122725163,126362413,37045,37339,39800,41322,42449,43612,45149,47386,47549,48193
407031168,Renmark Region,2297,2527,2611,2648,2752,45,45,46,46,46,105938899,119316650,129487453,136807200,144679748,40153,41349,43993,45625,46070,46121,47217,49593,51664,52573
407031169,The Coorong,2614,2797,2839,2921,2865,49,49,48,49,49,108749503,130483870,140586297,147723862,142054342,36868,39435,40689,41826,41497,41603,46651,49520,50573,49583
407031170,Waikerie,3112,3304,3343,3331,3329,48,48,48,48,49,139566481,150560227,157254720,157197703,159306030,38322,39404,41348,41759,42601,44848,45569,47040,47192,47854
Western Australia,,1464653,1479554,1500199,1524871,1550377,42,42,42,42,42,101256261155,100126078656,103310913753,108018126323,112064603621,52504,51450,52671,54220,55208,69133,67673,68865,70838,72282
501011001,Augusta,3320,3458,3659,3774,4030,48,48,48,48,48,160600752,160789378,183133784,185914378,207777452,36534,36046,37574,38371,38976,48374,46498,50050,49262,51558
501011002,Busselton,15255,15316,15771,16013,16267,45,45,46,46,46,851224511,840986343,862513367,906993243,944523153,42695,41979,42588,44444,45600,55800,54909,54690,56641,58064
501011003,Busselton Region,6959,7327,7428,7586,7846,44,45,45,46,46,423059523,429795829,443188178,464892566,497144562,42665,42094,42820,45445,45285,60793,58659,59665,61283,63363
501011004,Margaret River,6186,6321,6301,6510,6647,41,41,42,42,43,329413281,329158194,340507815,353354941,376409486,39886,39634,41393,42437,41921,53251,52074,54040,54279,56628
501021005,Australind - Leschenault,10224,10476,10792,11032,11184,43,43,43,43,43,690768372,694319761,707205057,739605419,764403215,52090,51314,52189,53763,55018,67563,66277,65530,67042,68348
501021007,Capel,2984,3089,3052,3061,3163,46,47,47,47,47,185750937,179838081,179943795,185349620,193386644,47666,45662,47678,49517,50290,62249,58219,58959,60552,61140
501021008,College Grove - Carey Park,3131,3183,3202,3266,3232,40,41,42,42,42,166051601,167795203,168786710,174262597,173465238,45267,45225,45539,46061,46479,53035,52716,52713,53357,53671
501021009,Collie,4398,4402,4386,4354,4389,46,46,46,46,46,306686092,286310881,283325074,281266112,283355748,50358,47042,48860,50894,51443,69733,65041,64598,64599,64560
501021010,Dardanup,1955,2028,2038,2023,2057,47,47,48,48,49,117016083,119062797,125150683,122219664,188184082,49073,47159,46934,49925,52357,59855,58709,61409,60415,91485
501021011,Davenport,48,44,52,54,53,46,47,45,52,49,3713555,4146206,4330424,4360508,4423283,57696,58333,68055,58895,64982,77366,94232,83277,80750,83458
501021012,Eaton - Pelican Point,6664,6758,6938,6987,6983,41,42,42,41,42,434652921,426014870,438651605,447994084,459028364,52811,50975,52016,53345,55017,65224,63039,63225,64118,65735
501021014,Harvey,4928,5139,5226,5326,5430,45,45,46,46,46,308013166,311323924,312131958,325358152,340282509,48559,47721,48101,49057,52519,62503,60581,59727,61089,62667
501021015,East Bunbury - Glen Iris,3984,4002,4102,4177,4159,42,43,43,43,43,231619539,228170552,241764111,252056060,247829857,47099,46360,47354,48350,49421,58137,57014,58938,60344,59589
501021016,Waroona,2126,2108,2175,2207,2227,47,48,48,48,48,138122745,131819882,136883072,141995591,149988938,49840,47979,48022,50126,51529,64968,62533,62935,64339,67350
501021251,Dalyellup,4996,5120,5290,5530,5638,40,40,40,41,41,352810562,351739479,361886746,384507158,402594842,55816,55550,55750,57719,59775,70619,68699,68410,69531,71407
501021252,Gelorup - Stratham,1828,1886,1915,1936,1997,48,48,49,48,49,147238995,141417401,144360588,151747986,157993083,56196,54483,56281,56644,58910,80546,74983,75384,78382,79115
501021253,South Bunbury - Bunbury,8358,7827,7690,7714,7731,46,47,47,48,48,576847995,528040764,529246092,546511231,556164876,50343,49584,49828,51457,52578,69017,67464,68823,70847,71940
501021254,Withers - Usher,2311,2270,2367,2395,2383,41,42,42,42,42,124806660,118152123,121519465,127100287,127913505,44781,43446,43734,45878,46912,54005,52049,51339,53069,53678
501031017,Bridgetown - Boyup Brook,3597,3627,3662,3712,3768,51,51,51,51,50,199874058,207711345,197520259,210078172,209434775,39539,42051,41537,42759,43257,55567,57268,53938,56594,55582
501031018,Donnybrook - Balingup,3406,3506,3517,3557,3597,49,49,49,49,49,179160584,180499667,178511134,190822802,196762200,39025,37323,38568,41352,41881,52601,51483,50757,53647,54702
