postcode,sa2_maincode_2016
2256,102011037
2256,102011040
2256,102011030
2257,102011040
2257,102011029
2258,102021051
2258,102021055
2259,102021049
2259,102021050
2259,102021052
2259,102021056
2259,102021048
2259,102021055
2259,111011212
2259,102021057
2259,111021218
2260,102011031
2260,102011041
2260,102011039
2261,102021044
2261,102021047
2261,102021053
2262,102021045
2262,102021046
2262,102021050
2263,102021054
2263,102021056
2263,102021048
2264,111021216
2264,111021218
2265,111021218
2267,111021220
2278,111021221
2280,111011206
2280,111011207
2280,111011213
2281,111011207
2281,111011212
2282,111011213
2282,111011214
2283,111021220
2283,111021219
2283,111021215
2284,111011209
2284,111011214
2284,111021215
2285,111021217
2285,111011209
2286,111021221
2287,111031231
2287,111031233
2287,111031226
2287,120031395
2289,111031222
2289,111011209
2289,111011208
2290,111011206
2290,111011208
2290,111011209
2290,111011210
2290,111011211
2291,111031228
2292,111031224
2293,111031235
2294,111031235
2295,111031232
2296,111031235
2297,111031235
2298,111031234
2299,111031231
2299,111031225
2299,111031234
2300,111031229
2302,111031224
2303,111031224
2304,111031230
2304,111031227
2304,111031231
2305,111031222
2305,111031225
2306,111011210
2307,111031231
2308,111031231
2309,121021404
2310,108011151
2311,106011110
2312,108011153
2314,106031125
2315,106031121
2315,106031119
2316,106031119
2316,106031121
2317,106031121
2318,106031125
2318,111031232
2319,106031120
2320,106021117
2320,106011107
2320,106021116
2320,106031123
2320,106021114
2321,106021118
2321,106031123
2321,106011110
2321,106011111
2321,106021114
2321,106011107
2321,106021117
2321,106021115
2321,106021116
2322,111031223
2322,106011109
2322,106021118
2322,106031122
2323,106021115
2323,106011109
2323,111021218
2324,106031123
2324,106031124
2324,108051170
2324,106031122
2324,106031125
2324,108011151
2324,106021118
2324,101061542
2325,106011108
2325,106011109
2325,106011107
2326,106011111
2326,106021117
2327,106011111
2328,106041127
2329,110041201
2329,106041129
2329,103031074
2330,106011113
2330,106011109
2330,106041127
2330,106011112
2330,103031075
2331,106011113
2331,106011112
2333,106041127
2333,106041129
2333,106011113
2333,106041126
2334,106011107
2335,106011107
2335,106011113
2336,106041129
2337,106041129
2337,106041128
2338,110041201
2338,106041129
2339,110041201
2340,110041205
2340,110041202
2340,110041200
2340,110041203
2340,110041204
2341,110041201
2342,110041201
2342,110041200
2343,110041201
2344,110041205
2345,110041205
2346,110041205
2347,110041205
2347,110021193
2348,105011095
2350,110011187
2350,110011188
2350,110011186
2351,110011186
2352,110041205
2353,110041205
